@relation hw5.2

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric

@data
24,23,78,5,22,19,23,23,9,65,15,17
12,3,72,4,15,12,23,19,9,57,10,8
3,16,10,82,1,22,17,40,88,4,24,4
17,22,48,11,20,20,83,16,19,7,51,3
79,18,15,54,21,5,3,22,16,34,34,1
62,8,3,38,23,6,10,13,15,24,23,11
19,55,19,4,71,17,20,5,24,1,23,13
65,7,2,46,16,12,13,19,1,32,31,3
8,2,92,19,4,9,26,20,0,60,23,17
18,12,10,67,19,18,20,48,93,5,6,12
15,7,72,17,21,20,32,21,1,65,6,13
16,15,85,4,10,6,42,23,20,69,4,23
10,5,1,83,6,23,20,43,99,20,19,16
1,19,13,73,19,25,0,39,103,22,10,17
14,22,80,21,10,23,40,19,18,60,15,0
17,11,4,62,19,30,18,51,97,15,16,8
22,3,22,60,10,22,11,38,82,11,0,10
80,1,17,44,24,6,6,1,22,20,29,9
14,47,15,18,89,5,5,5,26,13,2,1
84,6,19,43,8,22,1,24,3,16,16,14
0,9,5,64,23,14,10,42,100,17,0,0
14,22,53,4,10,0,81,12,4,22,54,6
75,3,24,39,4,3,8,22,7,33,32,5
3,24,35,16,10,19,100,10,16,23,55,8
1,3,86,7,11,3,34,19,12,58,16,20
8,22,76,13,14,23,22,4,8,50,4,10
22,45,5,5,91,7,13,0,21,10,7,13
18,10,4,78,7,20,4,45,93,2,17,18
17,22,19,80,3,33,3,53,90,8,9,6
24,47,23,3,92,20,0,6,25,3,0,20
68,3,1,30,9,5,4,7,24,34,27,24
10,4,38,20,25,23,80,21,4,18,71,24
21,41,24,19,78,21,21,14,30,23,1,15
61,1,5,35,18,24,24,13,20,10,22,8
77,8,0,54,20,7,11,15,16,20,28,3
10,57,3,2,77,16,10,0,44,2,21,12
0,16,17,83,17,25,24,50,103,20,11,14
5,4,3,74,16,16,4,40,103,17,20,16
17,42,14,23,71,11,16,16,41,3,21,11
20,55,8,3,72,0,11,13,39,8,2,2
6,57,16,6,85,24,1,22,31,3,24,8
6,15,40,16,15,23,86,20,16,19,65,2
3,0,39,17,34,1,101,1,16,17,70,9
10,8,41,19,28,18,89,0,17,14,68,14
18,43,4,9,72,15,4,15,41,10,8,23
11,42,14,1,82,0,20,10,35,17,10,22
24,22,85,18,4,4,34,4,1,50,14,8
60,14,20,47,21,13,18,13,11,31,29,21
13,9,82,10,10,12,29,14,9,59,17,19
20,41,11,0,89,6,3,23,43,14,4,3
15,16,7,84,15,31,4,36,80,3,7,7
4,2,47,0,24,15,102,22,4,17,66,23
4,14,78,3,7,11,22,16,21,57,21,5
19,45,21,12,88,2,7,19,36,23,2,6
3,54,14,24,86,10,21,18,22,11,19,0
23,59,5,18,81,6,17,16,44,21,14,20
16,7,38,3,12,10,88,1,14,16,59,11
1,16,15,82,14,25,9,43,96,2,4,9
20,11,76,15,2,7,27,4,9,72,2,12
19,40,2,16,81,20,24,12,29,6,15,2
74,19,18,30,1,20,21,6,1,30,21,7
3,45,23,12,89,21,3,21,20,18,0,14
4,13,88,14,0,10,35,14,19,63,8,2
16,14,90,10,0,18,36,22,21,62,1,9
